,Mid-year population estimates (millions) 1960,Mid-year population estimates (millions) 1970,Mid-year population estimates (millions) 1980,Mid-year population estimates (millions) 1990,Mid-year population estimates (millions) 2000,Mid-year population estimates (millions) 2010,Mid-year population estimates (millions) 2011,Annual rate of increase 2010-2015,Crude birth rate 2010-2015,Crude death rate 2010-2015,Surface area 2011,Density 2011
,,,,,,,,,,,,
World,3038,3696,4453,5306,6123,6896,6974,1.1,19,8,136127,51
,,,,,,,,,,,,
Africa,287,368,483,635,811,1022,1046,2.3,34,11,30312,35
,,,,,,,,,,,,
Eastern Africa,82,108,144,193,252,324,333,2.6,37,10,6361,52
,,,,,,,,,,,,
Middle Africa,32,41,53,72,96,127,130,2.5,40,15,6613,20
,,,,,,,,,,,,
Northern Africa,68,87,113,146,176,210,213,1.6,23,6,8525,25
,,,,,,,,,,,,
Southern Africa,20,26,33,42,51,58,58,0.6,21,14,2675,22
,,,,,,,,,,,,
Western Africa,86,107,140,183,236,304,312,2.6,38,12,6138,51
,,,,,,,,,,,,
Northern America,204,231,255,281,313,345,348,0.9,13,8,21776,16
,,,,,,,,,,,,
Latin America and the Caribbean,220,286,362,443,521,590,597,1.1,18,6,20546,29
,,,,,,,,,,,,
Caribbean,21,25,30,34,38,42,42,0.7,17,7,234,179
,,,,,,,,,,,,
Central America,52,70,92,113,136,156,158,1.3,20,5,2480,64
,,,,,,,,,,,,
South America,148,192,241,296,347,393,397,1,17,6,17832,22
,,,,,,,,,,,,
Asia,1708,2135,2638,3200,3719,4164,4207,1,17,7,31880,132
,,,,,,,,,,,,
Eastern Asia,802,984,1179,1359,1495,1574,1581,0.4,12,8,11763,134
,,,,,,,,,,,,
South-central Asia,620,779,986,1246,1516,1765,1790,1.4,22,8,10791,166
,,,,,,,,,,,,
South-eastern Asia,219,285,359,445,524,593,600,1.1,18,6,4495,133
,,,,,,,,,,,,
Western Asia,67,87,114,149,184,232,237,1.9,23,5,4831,49
,,,,,,,,,,,,
Europe,604,656,693,721,727,738,739,0.1,11,11,23049,32
,,,,,,,,,,,,
Eastern Europe,253,276,295,311,304,295,294,-0.2,11,14,18814,16
,,,,,,,,,,,,
Northern Europe,82,87,90,92,94,99,100,0.5,12,10,1810,55
,,,,,,,,,,,,
Southern Europe,117,127,138,142,145,155,156,0.3,10,10,1317,118
,,,,,,,,,,,,
Western Europe,152,166,170,175,183,189,189,0.2,10,10,1108,171